2026-06-09 18:11:55 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 18:12:56 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:12:56 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:12:56 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:12:56 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:12:56 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:13:07 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: c6f091f78f94_e1.pdf (1901 bytes)
2026-06-09 18:13:07 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 18:14:19 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:14:19 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:14:19 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:14:19 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:14:19 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:14:21 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:14:21 | INFO     | EquationAI.main           | lifespan:35 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:14:21 | INFO     | EquationAI.main           | lifespan:39 | Database tables created/verified.
